t_us,t_s,x_m,y_m,yaw_rad,vx_body_m_s,vy_body_m_s,yaw_rate_rad_s,line_position_m,line_error_m,line_visible,line_confidence,pwm_left,pwm_right,motor_current_left_a,motor_current_right_a,motor_torque_left_nm,motor_torque_right_nm,wheel_force_left_n,wheel_force_right_n,desired_wheel_force_left_n,desired_wheel_force_right_n,slip_left,slip_right,normal_left_n,normal_right_n,battery_voltage_v,sensor_00_adc,sensor_01_adc,sensor_02_adc,sensor_03_adc,sensor_04_adc,sensor_05_adc,sensor_06_adc,sensor_07_adc,sensor_08_adc,sensor_09_adc,sensor_10_adc,sensor_11_adc,sensor_12_adc,sensor_13_adc,sensor_14_adc,sensor_15_adc
50000,0.050000000,0.000990847,0.034985830,-0.028819640,0.020783679,0.000000000,-0.602840996,-0.031200000,-0.031200000,1,0.187500000,0.745600,-0.065600,0.001966523,0.001966523,0.000138271,-0.000138271,0.000588138,-0.000588138,0.013827115,-0.013827115,0.000000000,0.000000000,0.882598500,0.882598500,7.377286400,4095,4095,4095,4095,4095,4095,4095,4095,4095,4095,4095,4095,4095,0,0,0
51000,0.051000000,0.001011622,0.034985228,-0.029422481,0.020783679,0.000000000,-0.602840996,-0.031200000,-0.031200000,1,0.187500000,0.745600,-0.065600,0.001966523,0.001966523,0.000138271,-0.000138271,0.000588138,-0.000588138,0.013827115,-0.013827115,0.000000000,0.000000000,0.882598500,0.882598500,7.377286400,4095,4095,4095,4095,4095,4095,4095,4095,4095,4095,4095,4095,4095,0,0,0
52000,0.052000000,0.001032397,0.034984613,-0.030025322,0.020783679,0.000000000,-0.602840996,-0.031200000,-0.031200000,1,0.187500000,0.745600,-0.065600,0.001966523,0.001966523,0.000138271,-0.000138271,0.000588138,-0.000588138,0.013827115,-0.013827115,0.000000000,0.000000000,0.882598500,0.882598500,7.377286400,4095,4095,4095,4095,4095,4095,4095,4095,4095,4095,4095,4095,4095,0,0,0
53000,0.053000000,0.001053171,0.034983986,-0.030628163,0.020783679,0.000000000,-0.602840996,-0.031200000,-0.031200000,1,0.187500000,0.745600,-0.065600,0.001966523,0.001966523,0.000138271,-0.000138271,0.000588138,-0.000588138,0.013827115,-0.013827115,0.000000000,0.000000000,0.882598500,0.882598500,7.377286400,4095,4095,4095,4095,4095,4095,4095,4095,4095,4095,4095,4095,4095,0,0,0
54000,0.054000000,0.001073945,0.034983346,-0.031231004,0.020783679,0.000000000,-0.602840996,-0.031200000,-0.031200000,1,0.187500000,0.745600,-0.065600,0.001966523,0.001966523,0.000138271,-0.000138271,0.000588138,-0.000588138,0.013827115,-0.013827115,0.000000000,0.000000000,0.882598500,0.882598500,7.377286400,4095,4095,4095,4095,4095,4095,4095,4095,4095,4095,4095,4095,4095,0,0,0
55000,0.055000000,0.001094718,0.034982694,-0.031833845,0.020783679,0.000000000,-0.602840996,-0.031200000,-0.031200000,1,0.187500000,0.745600,-0.065600,0.001966523,0.001966523,0.000138271,-0.000138271,0.000588138,-0.000588138,0.013827115,-0.013827115,0.000000000,0.000000000,0.882598500,0.882598500,7.377286400,4095,4095,4095,4095,4095,4095,4095,4095,4095,4095,4095,4095,4095,0,0,0
56000,0.056000000,0.001115491,0.034982030,-0.032436686,0.020783679,0.000000000,-0.602840996,-0.031200000,-0.031200000,1,0.187500000,0.745600,-0.065600,0.001966523,0.001966523,0.000138271,-0.000138271,0.000588138,-0.000588138,0.013827115,-0.013827115,0.000000000,0.000000000,0.882598500,0.882598500,7.377286400,4095,4095,4095,4095,4095,4095,4095,4095,4095,4095,4095,4095,4095,0,0,0
57000,0.057000000,0.001136264,0.034981352,-0.033039527,0.020783679,0.000000000,-0.602840996,-0.031200000,-0.031200000,1,0.187500000,0.745600,-0.065600,0.001966523,0.001966523,0.000138271,-0.000138271,0.000588138,-0.000588138,0.013827115,-0.013827115,0.000000000,0.000000000,0.882598500,0.882598500,7.377286400,4095,4095,4095,4095,4095,4095,4095,4095,4095,4095,4095,4095,4095,0,0,0
58000,0.058000000,0.001157036,0.034980663,-0.033642368,0.020783679,0.000000000,-0.602840996,-0.031200000,-0.031200000,1,0.187500000,0.745600,-0.065600,0.001966523,0.001966523,0.000138271,-0.000138271,0.000588138,-0.000588138,0.013827115,-0.013827115,0.000000000,0.000000000,0.882598500,0.882598500,7.377286400,4095,4095,4095,4095,4095,4095,4095,4095,4095,4095,4095,4095,4095,0,0,0
59000,0.059000000,0.001177808,0.034979960,-0.034245209,0.020783679,0.000000000,-0.602840996,-0.031200000,-0.031200000,1,0.187500000,0.745600,-0.065600,0.001966523,0.001966523,0.000138271,-0.000138271,0.000588138,-0.000588138,0.013827115,-0.013827115,0.000000000,0.000000000,0.882598500,0.882598500,7.377286400,4095,4095,4095,4095,4095,4095,4095,4095,4095,4095,4095,4095,4095,0,0,0
60000,0.060000000,0.001198580,0.034979246,-0.034848050,0.020783679,0.000000000,-0.602840996,-0.031200000,-0.031200000,1,0.187500000,0.745600,-0.065600,0.001966523,0.001966523,0.000138271,-0.000138271,0.000588138,-0.000588138,0.013827115,-0.013827115,0.000000000,0.000000000,0.882598500,0.882598500,7.377286400,4095,4095,4095,4095,4095,4095,4095,4095,4095,4095,4095,4095,4095,0,0,0
